# Summary
mode,total,tp,tn,fp,fn,accuracy,precision,recall,f1,avg_time_ms,avg_comparisons
phrase,100,48,38,0,14,0.8600,1.0000,0.7742,0.8727,0.4496,266.0500
entity-action,100,55,38,0,7,0.9300,1.0000,0.8871,0.9402,0.6214,653.6200
hybrid,100,62,38,0,0,1.0000,1.0000,1.0000,1.0000,0.7254,653.6200

# Details
mode,id,message,label,predicted,method,matched_rule,processing_time_ms,comparisons
phrase,1,"film ini keren banget",0,0,"None","",2.0656,261
phrase,2,"tony stark mati di akhir",1,1,"Boyer-Moore Phrase","tony stark mati",0.1201,15
phrase,3,"jangan spoiler dong",0,0,"None","",1.1374,217
phrase,4,"ternyata dia villain utama",1,1,"Boyer-Moore Phrase","ternyata dia villain",0.9348,413
phrase,5,"visualnya bagus banget",0,0,"None","",0.7977,249
phrase,6,"gojo nanti disegel",1,0,"None","",0.6528,256
phrase,7,"iron man dies pas lawan thanos",1,1,"Boyer-Moore Phrase","iron man dies",0.0346,22
phrase,8,"endingnya bikin sedih",0,0,"None","",0.5952,268
phrase,9,"menurut gw aktingnya bagus",0,0,"None","",0.7509,377
phrase,10,"black widow dies di film itu",1,1,"Boyer-Moore Phrase","black widow dies",0.0459,42
phrase,11,"chat jangan rusuh",0,0,"None","",0.6170,164
phrase,12,"luffy gear 5 muncul nanti",1,1,"Boyer-Moore Phrase","luffy gear 5",0.2524,81
phrase,13,"gw belum nonton jadi no spoiler",0,0,"None","",0.7961,450
phrase,14,"eren rumbling bikin kacau",1,1,"Boyer-Moore Phrase","eren rumbling",0.0994,50
phrase,15,"ternyata karakter itu pengkhianat",1,0,"None","",0.9574,536
phrase,16,"musik openingnya enak",0,0,"None","",0.6099,246
phrase,17,"plot twist dia mati",1,1,"Boyer-Moore Phrase","plot twist dia mati",0.9483,431
phrase,18,"camera work-nya cakep",0,0,"None","",0.7377,277
phrase,19,"snape kills dumbledore",1,1,"Boyer-Moore Phrase","snape kills dumbledore",0.0487,36
phrase,20,"mysterio villain asli",1,1,"Boyer-Moore Phrase","mysterio villain",0.0540,33
phrase,21,"aku kira gojo menang",1,0,"None","",0.6893,234
phrase,22,"kapan stream mulai",0,0,"None","",0.4738,192
phrase,23,"endingnya dia meninggal",1,0,"None","",0.6373,341
phrase,24,"filmnya panjang banget",0,0,"None","",0.6237,269
phrase,25,"thanos wins di akhir",1,1,"Boyer-Moore Phrase","thanos wins",0.0814,41
phrase,26,"jangan bahas ending",0,0,"None","",0.6914,258
phrase,27,"darth vader father reveal",1,1,"Boyer-Moore Phrase","darth vader father",0.0686,44
phrase,28,"tony lucu banget di awal",0,0,"None","",0.5520,315
phrase,29,"sukuna menang lawan dia",1,0,"None","",0.6104,270
phrase,30,"chat ini cepat banget",0,0,"None","",0.5567,253
phrase,31,"dia dibunuh oleh temennya sendiri",1,0,"None","",0.8165,501
phrase,32,"ini scene favorit gw",0,0,"None","",0.4835,210
phrase,33,"identitas asli dia adalah ayahnya",1,1,"Boyer-Moore Phrase","identitas asli dia",0.6396,577
phrase,34,"spoiler alert tapi bohong",0,0,"None","",0.4939,333
phrase,35,"neji mati nanti",1,1,"Boyer-Moore Phrase","neji mati",0.1326,93
phrase,36,"anime ini hype banget",0,0,"None","",0.5340,245
phrase,37,"itachi mati pas arc itu",1,1,"Boyer-Moore Phrase","itachi mati",0.1386,105
phrase,38,"gw takut tony mati sih",1,0,"None","",0.4861,306
phrase,39,"kalau dia villain lucu juga",0,0,"None","",0.7186,414
phrase,40,"ace dies di marineford",1,1,"Boyer-Moore Phrase","ace dies",0.1505,112
phrase,41,"G0J0 nanti di-segel!!!",1,0,"None","",0.5085,296
phrase,42,"iroooon-man dies pas ending",1,1,"Boyer-Moore Phrase","iron man dies",0.1016,17
phrase,43,"plot_twist dia MATIII",1,1,"Boyer-Moore Phrase","plot twist dia mati",0.4800,431
phrase,44,"tony stark tewas di ending",1,0,"None","",0.5803,408
phrase,45,"mysterio ternyata pengkhianat",1,0,"None","",0.5047,449
phrase,46,"natasha mati pas misi itu",1,1,"Boyer-Moore Phrase","natasha mati",0.0345,36
phrase,47,"dumbledore dies nanti",1,1,"Boyer-Moore Phrase","dumbledore dies",0.0385,54
phrase,48,"snape bunuh dumbledore",1,1,"Boyer-Moore Phrase","snape bunuh dumbledore",0.0416,49
phrase,49,"darth vader ayah luke",1,1,"Boyer-Moore Phrase","darth vader ayah luke",0.1839,47
phrase,50,"thanos menang di akhir",1,1,"Boyer-Moore Phrase","thanos menang",0.0808,47
phrase,51,"mikasa kills eren",1,1,"Boyer-Moore Phrase","mikasa kills eren",0.0863,45
phrase,52,"eren jadi villain",1,1,"Boyer-Moore Phrase","eren jadi villain",0.0848,62
phrase,53,"sukuna bunuh gojo",1,1,"Boyer-Moore Phrase","sukuna bunuh gojo",0.1417,54
phrase,54,"gojo kalah lawan sukuna",1,1,"Boyer-Moore Phrase","gojo kalah",0.2436,83
phrase,55,"luffy joyboy reveal",1,1,"Boyer-Moore Phrase","luffy joyboy",0.1173,63
phrase,56,"jiraiya mati pas lawan pain",1,1,"Boyer-Moore Phrase","jiraiya mati",0.1531,160
phrase,57,"obito is tobi",1,1,"Boyer-Moore Phrase","obito is tobi",0.1162,43
phrase,58,"aizen villain utama",1,1,"Boyer-Moore Phrase","aizen villain",0.1565,103
phrase,59,"light yagami mati",1,1,"Boyer-Moore Phrase","light yagami mati",0.1603,147
phrase,60,"rengoku dies pas lawan akaza",1,1,"Boyer-Moore Phrase","rengoku dies",0.2279,240
phrase,61,"makima villain asli",1,1,"Boyer-Moore Phrase","makima villain",0.3146,147
phrase,62,"power mati nanti",1,1,"Boyer-Moore Phrase","power mati",0.2025,152
phrase,63,"aki gun fiend reveal",1,1,"Boyer-Moore Phrase","aki gun fiend",0.2243,115
phrase,64,"sasha mati di season itu",1,1,"Boyer-Moore Phrase","sasha mati",0.2781,275
phrase,65,"reiner armored titan",1,1,"Boyer-Moore Phrase","reiner armored titan",0.3261,153
phrase,66,"bertholdt colossal titan",1,1,"Boyer-Moore Phrase","bertholdt colossal titan",0.2483,196
phrase,67,"aerith dies nanti",1,1,"Boyer-Moore Phrase","aerith dies",0.2726,204
phrase,68,"arthur morgan mati",1,1,"Boyer-Moore Phrase","arthur morgan mati",0.3616,242
phrase,69,"joel mati dibunuh abby",1,1,"Boyer-Moore Phrase","joel mati",0.4113,219
phrase,70,"atreus loki reveal",1,1,"Boyer-Moore Phrase","atreus loki",0.3069,151
phrase,71,"han solo dies",1,1,"Boyer-Moore Phrase","han solo dies",0.3387,194
phrase,72,"rey palpatine",1,1,"Boyer-Moore Phrase","rey palpatine",0.4279,148
phrase,73,"batman is bruce wayne",1,1,"Boyer-Moore Phrase","batman is bruce wayne",0.3961,222
phrase,74,"superman mati di film itu",1,1,"Boyer-Moore Phrase","superman mati",0.4321,452
phrase,75,"post credit ada cameo besar",1,1,"Boyer-Moore Phrase","post credit ada cameo",0.6549,426
phrase,76,"endingnya karakter utama selamat",1,0,"None","",0.5313,492
phrase,77,"ternyata dia masih hidup",1,0,"None","",0.5641,375
phrase,78,"identitas asli dia adalah ayahnya",1,1,"Boyer-Moore Phrase","identitas asli dia",0.6657,577
phrase,79,"final form villain muncul nanti",1,0,"None","",0.6122,504
phrase,80,"episode terakhir dia dikalahkan",1,0,"None","",0.6001,495
phrase,81,"chatnya rame banget hari ini",0,0,"None","",0.5192,406
phrase,82,"gw belum nonton jadi no spoiler pls",0,0,"None","",0.6216,513
phrase,83,"jangan bahas ending dulu",0,0,"None","",0.4746,335
phrase,84,"villain designnya keren tanpa spoiler",0,0,"None","",0.6571,624
phrase,85,"gojo fanart ini bagus",0,0,"None","",0.4613,308
phrase,86,"tony lucu banget di awal",0,0,"None","",0.5564,315
phrase,87,"luffy ketawa doang sepanjang episode",0,0,"None","",0.5392,544
